,stratum
E_Central_Iran,low
E_Central_Mongolia,sub_noise
E_Dayan_Khyargas_Uvs_Nuur_Basins,sub_noise
E_East_Gobi_Desert,sub_noise
E_Egyptian_Western_Desert,sub_noise
E_Farahrud_Helmand_Hamun_i_Mashkel,low
E_Great_Basin_Great_Salt_Lake,low
E_Great_Victoria_Desert,sub_noise
E_Jordan_Northwest_Saudi_Arabia,sub_noise
E_Junggar_Pendi,sub_noise
E_La_Puna_Altiplano,sub_noise
E_Lake_Eyre_Basin,low
E_Lake_Rukwa_Basin,mid
E_Lakes_Balkash_Alakol,low
E_Libyian_Desert,sub_noise
E_Lower_Lake_Chad,sub_noise
E_North_Central_Arabia,sub_noise
E_North_Plateau_of_Tibet,low
E_Northern_Kordofan,sub_noise
E_Plateau_of_Tibet,sub_noise
E_Qinghai_Lake,sub_noise
E_Rift_Valley,low
E_Rub_al_Khali_Desert,sub_noise
E_Sahara,sub_noise
E_Saharan_and_Algerian_Atlas,sub_noise
E_Salinas_Grande_Mar_Chiquita,mid
E_South_Interior_Africa,mid
E_Syr_Darya,low
E_Tarim_He_Lop_Nur,sub_noise
E_Turpan_Pendi,sub_noise
E_Upper_Lake_Chad,sub_noise
R_Amazon_River,mid
R_Amur_River,low
R_Colorado_River_Argentina,mid
R_Colorado_River_of_the_West_North_America,low
R_Columbia_River,low
R_Congo_River,low
R_Danube_River,low
R_Dnieper_River,low
R_Don_River,mid
R_Ganges_Bramaputra_Basin,low
R_Indus_River,low
R_Lena_River,low
R_Limpopo_River,low
R_Mackenzie_River,sub_noise
R_Magdalena_River,mid
R_Mekong_River,mid
R_Mississippi_River,low
R_Murray_Darling_River,low
R_Niger_River,sub_noise
R_Nile_River,low
R_Ob_River,low
R_Orange_River,low
R_Orinoco_River,mid
R_Parana_River,low
R_Parnaiba_River,mid
R_Rio_Grande_Rio_Bravo,low
R_Saint_Lawrence_River,mid
R_Sao_Francisco_River,high
R_Saskatchewan_Nelson_Rivers,low
R_Senegal_River,sub_noise
R_Shebelli_Juba_Rivers,sub_noise
R_Tigris_Euphrates_River,low
R_Tocantins_River,mid
R_Volga_River,low
R_Volta_River,mid
R_Yangtze_River,sub_noise
R_Yellow_River_Huang_He,sub_noise
R_Yenisey_River,sub_noise
R_Yukon_River,sub_noise
R_Zambezi_River,mid
